chapter_no	chapter_title	id	word	phonetic	pos	tag	meaning	root	example_en	example_cn	extra	source
1	时间与存在	1	atmosphere	/ˈætməsfɪə/	n.	核心	大气层，大气圈；气氛	atmo（水汽）+ sphere（球体，球形）→ 大气圈	The planet's thick atmosphere traps heat and keeps the surface warm.	这颗行星厚厚的大气层锁住热量，使表面保持温暖。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	2	hydrosphere	/ˈhaɪdrəʊsfɪə/	n.	核心	水圈；大气中的水汽	hydro（水）+ sphere（球体，球形）→ 水圈	The hydrosphere covers about 70% of the Earth's surface.	水圈覆盖了地球表面约70%。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	3	lithosphere	/ˈlɪθəʊsfɪə/	n.	核心	岩石圈	litho（石头）+ sphere（球体，球形）→ 岩石圈	Scientists study the lithosphere to understand how continents drift over time.	科学家研究岩石圈以了解大陆如何随时间漂移。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	4	oxygen	/ˈɒksɪdʒən/	n.	核心	氧气	oxy（酸）+ gen（产生）→ 早期误以为所有酸都含氧而得名	Plants absorb carbon dioxide and release oxygen during photosynthesis.	植物在光合作用中吸收二氧化碳并释放氧气。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	5	oxide	/ˈɒksaɪd/	n.	核心	氧化物	ox(y)（氧）+ ide（化合物后缀）→ 氧化物	Rust is a common type of iron oxide that forms when metal is exposed to moisture.	铁锈是一种常见的氧化铁，当金属接触水分时就会形成。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	6	carbon dioxide	/ˈkɑːbən daɪˈɒksaɪd/	n.	核心	二氧化碳	carbon（碳）+ di（二）+ oxide（氧化物）→ 二氧化碳	Burning coal in power stations releases large amounts of carbon dioxide into the air.	发电站燃烧煤炭会向空气中释放大量二氧化碳。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	7	hydrogen	/ˈhaɪdrədʒən/	n.	核心	氢气	hydro（水）+ gen（生成）→ 燃烧后生成水的元素	Hydrogen fuel is widely studied as a clean energy substitute for oil.	氢燃料作为石油的清洁替代能源，正在被广泛研究。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	8	core	/kɔː/	n.	高频	中心，核心；地核	源自拉丁语 cor（心）→ 核心、中心	At the core of any great school lies a strong team of teachers.	任何优秀学校的核心都有一支强大的教师团队。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	9	crust	/krʌst/	n.	高频	地壳；外壳	源自拉丁语 crusta（硬壳）→ 外壳	The outermost crust of the Earth is broken into many tectonic plates.	地球最外层的地壳分裂成了多个构造板块。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
1	时间与存在	10	mantle	/ˈmæntl/	n.	高频	地幔；斗篷，披风	源自拉丁语 mantellum（披风）→ 覆盖物；地幔	Below the crust lies the mantle, which is thousands of kilometres thick.	地壳之下是厚达数千公里的地幔。		https://www.leonwang.cc/ielts-vocab/data-1.js?v=20260618-1
